"Stat_ID","Station_Name","River","Start_Date","End_Date","split","source","Contact.Link","comment","Area_km2","Easting_X","Norting_Y","dem_mean","Qobs_mm_a"
"6337509","HERRENHAUSEN","LEINE","2000-01-01","2009-12-31","Validation","WSV","Kontaktformular https://www.pegelonline.wsv.de/adminmail","WSV https://www.pegelonline.wsv.de/gast/stammdaten?pegelnr=48800108",5304,4341850,5808750,230.5,311.14
"6337510","SCHWARMSTEDT","LEINE","2000-01-01","2009-12-31","Validation","WSV","Kontaktformular https://www.pegelonline.wsv.de/adminmail","WSV https://www.pegelonline.wsv.de/gast/stammdaten?pegelnr=48800301",6443,4338050,5841450,203.11,309.87
"6337511","ALLENDORF","WERRA","2000-01-01","2009-12-31","Validation","WSV","Kontaktformular https://www.pegelonline.wsv.de/adminmail","WSV https://www.pegelonline.wsv.de/gast/stammdaten?pegelnr=41900104",5166,4358950,5683450,402.43,288.88
"6337512","HELDRA","WERRA","2000-01-01","2009-12-31","Validation","WSV","Kontaktformular https://www.pegelonline.wsv.de/adminmail","WSV https://www.pegelonline.wsv.de/gast/stammdaten?pegelnr=41700105",4302,4373750,5667050,417.04,297.36
"6337513","LETZTER-HELLER","WERRA","1940-11-01","2018-12-31","Validation","WSV","Kontaktformular https://www.pegelonline.wsv.de/adminmail","WSV https://www.pegelonline.wsv.de/gast/stammdaten?pegelnr=41900206",5487,4340650,5699550,396.75,293.13
"6338110","DALUM","EMS","1964-11-01","2019-12-31","Validation","GRDC","https://grdc.bafg.de/","",4981,4178350,5839650,69.89,315.67
"6338130","RHEINE-UNTERSCHLEUSE-UP","EMS","1930-11-01","2019-12-31","Validation","GRDC","https://grdc.bafg.de/","",3740,4188750,5804650,76.5,321.01
"6340200","LAUCHA","UNSTRUT","2004-05-09","2020-12-31","Validation","Landesbetriebes für Hochwasserschutz Sachsen-Anhalt","poststelle@lhw.mlu.sachsen-anhalt.de","ACHTUNG: 2 Rückhaltemöglichkeiten: -          Hochwasserrückhaltebecken Straußfurt (Unstrut) -          Talsperre Kelbra (Helme – Zufluss zur Unstrut)Sachsen-Anhalt https://hochwasservorhersage.sachsen-anhalt.de/messwerte/durchfluss/?no_cache=1",6218,4477950,5676950,282.94,158.65
"6340300","CALBE-GRIZEHNE","SAALE","1931-11-01","2019-12-31","Validation","GRDC","https://grdc.bafg.de/","",23719,4482794.38,5751655.07,287.17,165.74
"6340302","RUDOLSTADT","SAALE","1999-11-01","2019-12-31","Validation","Thüringen, Landesamt für Umwelt, Bergbau und Naturschutz","presse@tlubn.thueringen.de","Thueringen, https://tlubn.thueringen.de/wasser/oberflaechengewaesser/wassermenge-quantitative-hydrologie",2678,4453150,5620250,534.67,321.47
"6340600","BAD-DUEBEN","VEREINIGTE-MULDE","1960-11-01","2019-12-31","Validation","GRDC","https://grdc.bafg.de/","",6171,4540259.47,5717409.08,385.52,341.43
"6342520","EICHSTAETT","ALTMUEHL","1929-11-01","2019-12-31","Validation","GRDC","https://grdc.bafg.de/","",1400,4440941.65,5416816.98,477.3,233.91
"6342800","HOFKIRCHEN","DANUBE","1900-11-01","2019-12-31","Validation","GRDC","https://grdc.bafg.de/","",47496,4582177.42,5393646.93,557.61,467.85
"9304031","Wolfshagen","Stepenitz","1997-03-26","2022-08-17","Training","Landesamt für Umwelt Brandenburg","poststelle@lfu.brandenburg.de","",575,4500650,5890950,78.21,190.53
"9304037","DOHNA","MUEGLITZ","1911-11-01","2019-12-31","Validation","GRDC","https://grdc.bafg.de/","",198,4630550,5648950,505.71,442.94
"9304042","ELBERSDORF","WESENITZ","1920-11-01","2019-12-31","Training","GRDC","https://grdc.bafg.de/","",227,4640250,5655650,313.82,308.11
"9304045","STRECKENWALDE","PRESSNITZ","1920-11-01","2019-12-31","Training","GRDC","https://grdc.bafg.de/","",206,4574950,5610550,663.62,445
"9304047","WECHSELBURG","ZWICKAUER-MULDE","1909-11-01","2019-12-31","Validation","GRDC","https://grdc.bafg.de/","",2107,4554750,5652850,466.52,423.52
"9304050","NOSSEN-1","FREIBERGER-MULDE","1925-11-01","2021-12-31","Training","Sächsisches Landesamt für Umwelt, Landwirtschaft und Geologie","Poststelle@lfulg.sachsen.de","",585.2,4589050,5659450,476.56,374.57
"9304051","BERTHELSDORF","FREIBERGER--MULDE","1935-11-01","2021-12-31","Training","Sächsisches Landesamt für Umwelt, Landwirtschaft und Geologie","Poststelle@lfulg.sachsen.de","",244.4,4598050,5639450,576.67,462.21
"9304060","ADORF","WEISSE-ELSTER","1925-11-01","2017-12-31","Validation","GRDC","https://grdc.bafg.de/","",171,4517250,5578850,561.38,348.71
"9304063","NORDHAUSEN","ZORGE","1999-11-01","2019-12-31","Training","Thüringen, Landesamt für Umwelt, Bergbau und Naturschutz","presse@tlubn.thueringen.de","Thueringen, https://tlubn.thueringen.de/wasser/oberflaechengewaesser/wassermenge-quantitative-hydrologie",303.6,4416650,5707350,389.23,361.83
"9304065","BLEICHERODE","BODE","1999-11-01","2019-12-31","Training","Thüringen, Landesamt für Umwelt, Bergbau und Naturschutz","presse@tlubn.thueringen.de","Thueringen, https://tlubn.thueringen.de/wasser/oberflaechengewaesser/wassermenge-quantitative-hydrologie",104.2,4401450,5702950,344.12,259.08
"9304066","HACHELBICH","WIPPER","1999-11-01","2019-12-31","Validation","Thüringen, Landesamt für Umwelt, Bergbau und Naturschutz","presse@tlubn.thueringen.de","Thueringen, https://tlubn.thueringen.de/wasser/oberflaechengewaesser/wassermenge-quantitative-hydrologie",523.9,4428050,5691450,318.94,205.17
"9304067","WIPPERDORF","WIPPER","1999-11-01","2019-12-31","Training","Thüringen, Landesamt für Umwelt, Bergbau und Naturschutz","presse@tlubn.thueringen.de","Thueringen, https://tlubn.thueringen.de/wasser/oberflaechengewaesser/wassermenge-quantitative-hydrologie",317.8,4406850,5702450,336.6,232.5
"9304069","ARNSTADT","GERA","1999-11-01","2019-12-31","Training","Thüringen, Landesamt für Umwelt, Bergbau und Naturschutz","presse@tlubn.thueringen.de","Thueringen, https://tlubn.thueringen.de/wasser/oberflaechengewaesser/wassermenge-quantitative-hydrologie",174.7,4426750,5633750,544.72,409.82
"9304070","NAEGELSTEDT","UNSTRUT","1999-11-01","2019-12-31","Training","Thüringen, Landesamt für Umwelt, Bergbau und Naturschutz","presse@tlubn.thueringen.de","Thueringen, https://tlubn.thueringen.de/wasser/oberflaechengewaesser/wassermenge-quantitative-hydrologie",716.1,4409650,5664350,294.07,187.28
"9304084","NIEDERTREBRA","ILM","1999-11-01","2019-12-31","Training","Thüringen, Landesamt für Umwelt, Bergbau und Naturschutz","presse@tlubn.thueringen.de","Thueringen, https://tlubn.thueringen.de/wasser/oberflaechengewaesser/wassermenge-quantitative-hydrologie",894.3,4470565.01,5659376.03,392.77,220.08
"9304085","MELLINGEN","ILM","1999-11-01","2019-12-31","Validation","Thüringen, Landesamt für Umwelt, Bergbau und Naturschutz","presse@tlubn.thueringen.de","Thueringen, https://tlubn.thueringen.de/wasser/oberflaechengewaesser/wassermenge-quantitative-hydrologie",627,4457150,5645150,450.12,220.68
"9304086","GRAEFINAU-ANGSTEDT","ILM","1999-11-01","2019-12-31","Validation","Thüringen, Landesamt für Umwelt, Bergbau und Naturschutz","presse@tlubn.thueringen.de","Thueringen, https://tlubn.thueringen.de/wasser/oberflaechengewaesser/wassermenge-quantitative-hydrologie",174.2,4430650,5618550,626.62,501.47
"9304088","FREIENORLA","ORLA","1999-11-01","2019-12-31","Validation","Thüringen, Landesamt für Umwelt, Bergbau und Naturschutz","presse@tlubn.thueringen.de","Thueringen, https://tlubn.thueringen.de/wasser/oberflaechengewaesser/wassermenge-quantitative-hydrologie",254.8,4467650,5626050,344.95,166.33
"9304090","KATZHUETTE","SCHWARZA","1999-11-01","2019-12-31","Training","Thüringen, Landesamt für Umwelt, Bergbau und Naturschutz","presse@tlubn.thueringen.de","Thueringen, https://tlubn.thueringen.de/wasser/oberflaechengewaesser/wassermenge-quantitative-hydrologie",122.6,4433350,5602950,675.89,689.97
"9304091","KAULSDORF-EICHICHT","LOQUITZ","1999-11-01","2019-12-31","Validation","Thüringen, Landesamt für Umwelt, Bergbau und Naturschutz","presse@tlubn.thueringen.de","Thueringen, https://tlubn.thueringen.de/wasser/oberflaechengewaesser/wassermenge-quantitative-hydrologie",362.7,4460150,5608650,554.09,334.4
"9304102","GROSSDITTMANNSDORF","GROSSE-ROEDER","1920-11-01","2019-12-31","Training","GRDC","https://grdc.bafg.de/","",300,4624050,5675250,243.5,246.15
"9304105","Schadewitz","Kleine-Elster","1995-04-14","2022-03-29","Training","Landesamt für Umwelt Brandenburg","poststelle@lfu.brandenburg.de","",637,4602650,5715050,111.15,103.33
"9304130","TREIA","TREENE","1931-12-01","2019-12-31","Validation","GRDC","https://grdc.bafg.de/","",481,4326350,6046450,29.39,351.49
"9304134","SUNDHAUSEN","HELME","2003-11-01","2017-12-31","Validation","Thüringen, Landesamt für Umwelt, Bergbau und Naturschutz","presse@tlubn.thueringen.de","Thueringen, https://tlubn.thueringen.de/wasser/oberflaechengewaesser/wassermenge-quantitative-hydrologie",200.6,4417350,5705150,254.18,248.94
"9304136","ERFURT-MOEBISBURG","GERA","1999-11-01","2019-12-31","Validation","Thüringen, Landesamt für Umwelt, Bergbau und Naturschutz","presse@tlubn.thueringen.de","Thueringen, https://tlubn.thueringen.de/wasser/oberflaechengewaesser/wassermenge-quantitative-hydrologie",842.8,4428950,5643850,438.72,214.72
"9305022","EBERHARDSREUTH","MITTERNACHER-OHE","1950-11-01","2019-12-31","Validation","GRDC","https://grdc.bafg.de/","",113,4599950,5410750,655.54,566.31
"9305024","KALTENECK","ILZ","1900-02-01","2019-12-31","Validation","GRDC","https://grdc.bafg.de/","",762,4607150,5395750,698.98,677.38
"9305043","HEITZENHOFEN","NAAB","1920-11-01","2019-12-31","Validation","GRDC","https://grdc.bafg.de/","",5426,4495550,5442550,488.39,310.94
"9305044","UNTERKOEBLITZ","NAAB","1940-11-01","2019-12-31","Validation","GRDC","https://grdc.bafg.de/","",2004,4511350,5489150,507.39,301.59
"9305055","NIEDERKIRCH","RISS","1931-01-01","2019-12-31","Validation","GRDC","https://grdc.bafg.de/","",405.5,4339050,5346850,590.06,368.31
"9305064","HARBURG","WOERNITZ","1939-11-01","2019-12-31","Validation","GRDC","https://grdc.bafg.de/","",1578,4404250,5406550,472.15,233.35
"9305065","OFFINGEN","MINDEL","1940-11-01","2021-12-31","Validation","GRDC","https://grdc.bafg.de/","update data",951,4380650,5373650,592.94,409.76
"9305077","ACHSTETTEN","BAIERZER-ROT","1924-11-01","2019-12-31","Validation","GRDC","https://grdc.bafg.de/","",264,4344129.11,5350036.17,624.95,391.15
"9305105","UNTERSCHMEIEN","SCHMIECHA","1931-01-01","2019-12-31","Training","GRDC","https://grdc.bafg.de/","",155,4287750,5332050,813.43,345.2
"9305107","FRIDINGEN","BAERA","1937-08-01","2019-12-31","Validation","GRDC","https://grdc.bafg.de/","",134,4272050,5326850,859.36,430.71
"9305111","STEIN-BEI-ALTENMARKT","TRAUN","1925-11-01","2019-12-31","Training","GRDC","https://grdc.bafg.de/","",378,4540750,5316950,841.12,1113.1
"9305116","ANGER","ATTEL","1970-11-01","2022-01-01","Training","Bayerisches Landesamt für Umwelt","www.gkd.bayern.de","",244,4510950,5321250,524.96,485.11
"9305128","SIEGSDORF","WEISSE-TRAUN","1925-11-01","2019-12-31","Validation","GRDC","https://grdc.bafg.de/","",183,4548550,5298050,997.41,1506.41
"9305131","LAUBEN","AITRACH","1938-11-01","2019-12-31","Training","GRDC","https://grdc.bafg.de/","",308.1,4353350,5305950,731.35,565.26
"9305138","KIRCHENHAUSEN","DONAU","1922-11-01","2019-12-31","Validation","GRDC","https://grdc.bafg.de/","",766,4252050,5314950,814.84,525.66
"9305142","LEUTERSCHACH","LOBACH","1970-11-01","2022-01-01","Validation","Bayerisches Landesamt für Umwelt","www.gkd.bayern.de","",109,4393850,5291050,827.41,785.99
"9305145","BIESSENHOFEN","WERTACH","1920-11-01","2019-12-31","Validation","GRDC","https://grdc.bafg.de/","",450,4398850,5299850,879.18,873.4
"9315010","GEMUEND","URFT","1999-08-04","2022-04-07","Validation","Ministerium für Umwelt, Naturschutz und Verkehr des Landes Nordrhein-Westfalen","poststelle@munv.nrw.de","",344.6,4109150,5619250,518.6,467.77
"9315014","ESCHWEILER-KLAERANLAGE","INDE","1999-08-06","2022-04-07","Training","Ministerium für Umwelt, Naturschutz und Verkehr des Landes Nordrhein-Westfalen","poststelle@munv.nrw.de","",232.2,4098650,5647050,293.74,416.7
"9315015","KALL-SPORTPLATZ","URFT","1999-08-06","2022-04-07","Validation","Ministerium für Umwelt, Naturschutz und Verkehr des Landes Nordrhein-Westfalen","poststelle@munv.nrw.de","",131.1,4113893.37,5615650.69,514.2,371.3
"9316003","GRAFHORST","ALLER","2000-01-02","2017-12-30","Validation","Niedersächsischer Landesbetrieb für Wasserwirtschaft, Küsten- und Naturschutz (NLWKN)","pressestelle@nlwkn.niedersachsen.de","Niedersachsen https://www.pegelonline.nlwkn.niedersachsen.de/Pegel/Binnenpegel/Name/Grafhorst%201",514,4428550,5813350,123.09,117.29
"9316008","NEUDORF-PLATENDORF","ISE","2000-01-02","2017-12-30","Validation","Niedersächsischer Landesbetrieb für Wasserwirtschaft, Küsten- und Naturschutz (NLWKN)","pressestelle@nlwkn.niedersachsen.de","Niedersachsen https://www.pegelonline.nlwkn.niedersachsen.de/Pegel/Binnenpegel/ID/441",340,4405750,5827550,80.18,195.47
"9316014","GUTACH","ELZ","1940-11-01","2019-12-31","Training","GRDC","https://grdc.bafg.de/","",303,4201509.61,5339009.76,703.81,882.33
"9316018","ROTENFELS","MURG","1917-01-01","2019-12-31","Training","GRDC","https://grdc.bafg.de/","",468.8,4228250,5415650,648.81,1045.18
"9316023","OBERWOLFACH","WOLF","1909-11-01","2019-12-31","Training","GRDC","https://grdc.bafg.de/","",127,4219650,5360350,648.1,1135.41
"9316037","ZELL","WIESE","1928-04-01","2019-12-31","Validation","GRDC","https://grdc.bafg.de/","",209,4189450,5293950,904.72,1160.22
"9316051","EBNET","DREISAM","1940-11-01","2019-12-31","Training","GRDC","https://grdc.bafg.de/","",258.2,4233550,5307750,929.29,697.23
"9316052","OBERLAUCHRINGEN","WUTACH","2000-01-01","2019-12-31","Validation","Landesanstalt für Umwelt Baden-Württemberg","poststelle@lubw.bwl.de","baden-württemberg https://www.hvz.baden-wuerttemberg.de/pegel.html?id=00073",617,4224450,5283050,782.04,450.71
"9316094","UHLDINGEN","SEEFELDER-AACH","1938-11-01","2019-12-31","Validation","GRDC","https://grdc.bafg.de/","",271.5,4293550,5291550,569.4,370.59
"9316095","GERBERTSHAUS","SCHUSSEN","1919-11-01","2019-12-31","Validation","GRDC","https://grdc.bafg.de/","",790,4315650,5285250,578.49,456.01
"9316097","GIESSEN","ARGEN","1932-01-01","2019-12-31","Validation","GRDC","https://grdc.bafg.de/","",652,4319650,5279350,706.53,959.31
"9316109","OBERWOLFACH","WOLF","1909-11-01","2019-12-31","Validation","GRDC","https://grdc.bafg.de/","grdc nr 6335725",126.2,4219667.67,5359261.45,640.95,1059.08
"9316135","NETTEGUT","NETTE","1961-01-01","2016-12-31","Validation","GRDC","https://grdc.bafg.de/","",368.6,4175350,5597050,353.3,196.9
"9316136","DENSBORN","KYLL","1972-11-01","2019-12-31","Validation","Landesamt für Umwelt Rheinland-Pfalz","poststelle@lfu.rlp.de","",471.8,4114150,5568750,513.44,450.04
"9316138","WERNERSECK","NETTE","1972-11-01","2019-12-31","Training","Landesamt für Umwelt Rheinland-Pfalz","poststelle@lfu.rlp.de","",242,4171050,5591650,419.02,242.39
"9316146","ALSDORF-OBERECKEN","NIMS","1956-11-01","2019-12-31","Training","Landesamt für Umwelt Rheinland-Pfalz","poststelle@lfu.rlp.de","",266,4102050,5541650,412.73,335.98
"9316152","NALBACH","PRIMS","1959-03-13","2018-12-31","Validation","Land Saarland","Kontaktformular https://www.saarland.de/SiteGlobals/Forms/Kontakt/DE/Kontakt_Formular.html","saarland https://www.saarland.de/40233.html",715.8,4121050,5483750,382.21,458.42
"9316154","DHRONTALSPERRE","KLEINE-DHRON","1972-11-01","2019-12-31","Training","Landesamt für Umwelt Rheinland-Pfalz","poststelle@lfu.rlp.de","",126,4132550,5529450,481,434.69
"9316155","PAPIERMUHLE","DHRON","1955-12-07","2019-12-31","Training","Landesamt für Umwelt Rheinland-Pfalz","poststelle@lfu.rlp.de","",170,4136250,5533550,482.55,345.67
"9316162","ALTENBAMBERG","ALSENZ","1955-11-01","2019-12-31","Training","Landesamt für Umwelt Rheinland-Pfalz","poststelle@lfu.rlp.de","",318,4199850,5524350,304.58,170.28
"9316163","IMSWEILER","ALSENZ","1952-01-01","2019-12-31","Validation","Landesamt für Umwelt Rheinland-Pfalz","poststelle@lfu.rlp.de","",171,4197950,5505450,316.63,186.3
"9316166","ESCHENAU","GLAN","1965-11-01","2019-12-31","Training","Landesamt für Umwelt Rheinland-Pfalz","poststelle@lfu.rlp.de","",588,4173348.37,5505616.03,319.68,320.32
"9316170","BOOS","NAHE","1955-11-01","2019-12-31","Validation","Landesamt für Umwelt Rheinland-Pfalz","poststelle@lfu.rlp.de","",2832,4191750,5524750,374.06,284.37
"9316172","ALBISHEIM","PFRIMM","1965-01-01","2019-12-31","Training","Landesamt für Umwelt Rheinland-Pfalz","poststelle@lfu.rlp.de","",113,4218550,5508650,294.17,151.41
"9316177","HERXHEIM","KLINBACH","1959-11-01","2019-12-31","Training","Landesamt für Umwelt Rheinland-Pfalz","poststelle@lfu.rlp.de","",101,4222750,5451850,221.7,190.51
"9316184","BERKA-R","RHUME","2000-01-02","2017-12-30","Training","Niedersächsischer Landesbetrieb für Wasserwirtschaft, Küsten- und Naturschutz (NLWKN)","pressestelle@nlwkn.niedersachsen.de","Niedersachsen https://www.pegelonline.nlwkn.niedersachsen.de/Pegel/Binnenpegel/Name/Berka%20R",894,4368950,5729950,314.55,405.94
"9316186","ELVERSHAUSEN","RHUME","2000-01-02","2017-12-30","Validation","Niedersächsischer Landesbetrieb für Wasserwirtschaft, Küsten- und Naturschutz (NLWKN)","pressestelle@nlwkn.niedersachsen.de","niedersachsen https://www.pegelonline.nlwkn.niedersachsen.de/Pegel/Binnenpegel/Name/Elvershausen",1119,4368050,5731450,317.03,435.16
"9316188","GOETTINGEN","LEINE","2000-01-02","2017-12-30","Training","Niedersächsischer Landesbetrieb für Wasserwirtschaft, Küsten- und Naturschutz (NLWKN)","pressestelle@nlwkn.niedersachsen.de","Niedersachsen https://www.pegelonline.nlwkn.niedersachsen.de/Pegel/Binnenpegel/Name/G%C3%B6ttingen",634,4355650,5714750,295.64,258.76
"9316190","GR.RHUEDEN","NETTE","2000-01-02","2017-12-30","Validation","Niedersächsischer Landesbetrieb für Wasserwirtschaft, Küsten- und Naturschutz (NLWKN)","pressestelle@nlwkn.niedersachsen.de","niedersachsen https://www.pegelonline.nlwkn.niedersachsen.de/Pegel/Binnenpegel/ID/291",135,4371250,5757750,269.99,352.78
"9316191","HATTORF","SIEBER","2000-01-02","2017-12-30","Validation","Niedersächsischer Landesbetrieb für Wasserwirtschaft, Küsten- und Naturschutz (NLWKN)","pressestelle@nlwkn.niedersachsen.de","Niedersachsen https://www.pegelonline.nlwkn.niedersachsen.de/Pegel/Binnenpegel/ID/313",127,4379550,5725750,484.33,614.68
"9316197","OLDENDORF","IILME","2000-01-02","2017-12-30","Validation","Niedersächsischer Landesbetrieb für Wasserwirtschaft, Küsten- und Naturschutz (NLWKN)","pressestelle@nlwkn.niedersachsen.de","niedersachsen https://www.pegelonline.nlwkn.niedersachsen.de/Pegel/Binnenpegel/Name/Oldendorf",148,4346250,5744250,328.41,450.01
"9316199","RECKERSHAUSEN","LEINE","2000-01-02","2017-12-30","Validation","Niedersächsischer Landesbetrieb für Wasserwirtschaft, Küsten- und Naturschutz (NLWKN)","pressestelle@nlwkn.niedersachsen.de","Niedersachsen https://www.pegelonline.nlwkn.niedersachsen.de/Pegel/Binnenpegel/ID/492",319,4355999.71,5699147.36,340.27,267.55
"9316208","GUENTHERS","ULSTER","1955-11-01","2022-08-22","Validation","Hessisches Landesamt für Naturschutz, Umwelt und Geologie (HLNUG)","https://www.hlnug.de/kontaktformular","",182,4358950,5615250,591.55,484.9
"9316210","KAEMMERZELL","FULDA","1953-11-01","2019-12-31","Training","GRDC","https://grdc.bafg.de/","",561,4332950,5609550,426.55,376.64
"9316212","HERMANNSPIEGEL","HAUNE","1958-11-01","2022-08-23","Validation","Hessisches Landesamt für Naturschutz, Umwelt und Geologie (HLNUG)","https://www.hlnug.de/kontaktformular","",421.8,4340250,5632850,379.09,251.14
"9316215","ROELLSHAUSEN","SCHWALM","1959-11-01","2022-08-23","Training","Hessisches Landesamt für Naturschutz, Umwelt und Geologie (HLNUG)","https://www.hlnug.de/kontaktformular","",250,4308950,5639450,341.67,235.13
"9316216","UTTERSHAUSEN","SCHWALM","1957-11-01","2022-08-23","Validation","Hessisches Landesamt für Naturschutz, Umwelt und Geologie (HLNUG)","https://www.hlnug.de/kontaktformular","",986.1,4312850,5662750,318.1,218.87
"9316220","WESTHEIM","DIEMEL","1953-11-10","2021-10-31","Validation","Ministerium für Umwelt, Naturschutz und Verkehr des Landes Nordrhein-Westfalen","poststelle@munv.nrw.de","",363,4286150,5711150,470.04,447.26
"9316228","MEININGEN","WERRA","1918-11-01","2019-08-31","Validation","GRDC","https://grdc.bafg.de/","",1170,4387650,5605950,502.14,398.75
"9316229","RAPPELDORF","SCHLEUSE","1950-11-01","2019-08-31","Validation","GRDC","https://grdc.bafg.de/","",256,4409150,5596450,590.81,567.18
"9316231","ELLINGSHAUSEN","HASEL","1935-11-01","2019-09-01","Validation","GRDC","https://grdc.bafg.de/","",321,4391554.76,5601457.24,541.81,457.78
"9316235","DORNDORF-2","FELDA","1999-11-01","2019-12-31","Training","Thüringen, Landesamt für Umwelt, Bergbau und Naturschutz","presse@tlubn.thueringen.de","Thueringen, https://tlubn.thueringen.de/wasser/oberflaechengewaesser/wassermenge-quantitative-hydrologie",214,4364850,5633250,482.81,344.73
"9316236","UNTERBREIZBACH-RAESA","ULSTER","1999-11-01","2019-12-31","Training","Thüringen, Landesamt für Umwelt, Bergbau und Naturschutz","presse@tlubn.thueringen.de","Thueringen, https://tlubn.thueringen.de/wasser/oberflaechengewaesser/wassermenge-quantitative-hydrologie",399,4357950,5633450,476.47,395.62
"9316238","EISENACH-PETERSBERG","HORSEL","1939-11-01","2019-08-31","Validation","GRDC","https://grdc.bafg.de/","",305.2,4383950,5649550,408.64,288.83
"9316249","UCHTDORF","EXTER","2000-01-02","2017-12-30","Training","Niedersächsischer Landesbetrieb für Wasserwirtschaft, Küsten- und Naturschutz (NLWKN)","pressestelle@nlwkn.niedersachsen.de","niedersachsen https://www.pegelonline.nlwkn.niedersachsen.de/Pegel/Binnenpegel/ID/565",102,4300850,5783850,218.78,445.34
"9316260","BERSENBRUECK","HASE","2000-01-02","2017-12-30","Validation","Niedersächsischer Landesbetrieb für Wasserwirtschaft, Küsten- und Naturschutz (NLWKN)","pressestelle@nlwkn.niedersachsen.de","Niedersachsen https://www.pegelonline.nlwkn.niedersachsen.de/Pegel/Binnenpegel/Name/Bersenbr%C3%BCck",945,4225750,5832750,85.89,301.56
"9316261","BOKELOH","HASE","2000-01-02","2017-12-30","Validation","Niedersächsischer Landesbetrieb für Wasserwirtschaft, Küsten- und Naturschutz (NLWKN)","pressestelle@nlwkn.niedersachsen.de","Niedersachsen https://www.pegelonline.nlwkn.niedersachsen.de/Pegel/Binnenpegel/ID/201",2968,4186050,5850650,51.15,296.74
